                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3254,                 4.3695,                0.93188,                0.00333,                      1,                 0.0532,                0.02077,                 1.0666,                 4.1539,                0.86164,                0.00014,                0.00014,                0.00014
                      2,                 1.3181,                 2.5538,                0.98625,                0.00326,                0.97727,                0.19324,                0.09869,                0.99794,                 4.1449,                0.86165,             0.00028515,             0.00028515,             0.00028515
                      3,                  1.352,                 2.3399,                 0.9497,                0.00326,                0.97727,                0.01347,                0.00377,                 1.0929,                 4.0366,                0.86588,             0.00041446,             0.00041446,             0.00041446
                      4,                 1.3235,                 1.8935,                 0.9801,                0.00333,                      1,                0.00948,                0.00671,                 1.0068,                 3.9226,                0.84934,             0.00052793,             0.00052793,             0.00052793
                      5,                 1.4292,                 1.9515,                 1.0033,                0.00326,                0.97727,                0.01097,                0.00764,                 1.0096,                 3.8592,                0.85745,             0.00062556,             0.00062556,             0.00062556
                      6,                 1.3776,                 1.9362,                0.99359,                0.00318,                0.95455,                0.05234,                0.02849,                 1.1088,                 3.7524,                0.89821,             0.00070735,             0.00070735,             0.00070735
                      7,                 1.3241,                 1.6583,                0.94596,                0.00326,                0.97727,                0.32307,                0.23027,                 1.0291,                 3.5814,                0.87099,              0.0007733,              0.0007733,              0.0007733
                      8,                 1.3478,                 1.7486,                 0.9681,                0.00326,                0.97727,                0.05585,                0.04597,                 1.0965,                  3.656,                 0.9002,             0.00082341,             0.00082341,             0.00082341
                      9,                  1.282,                 1.6804,                0.94871,                0.93673,                0.11364,                0.72443,                0.50746,                 1.1374,                 3.2559,                0.93218,             0.00085768,             0.00085768,             0.00085768
                     10,                 1.2704,                 1.5501,                0.98038,                      1,                0.13222,                0.85115,                0.61711,                 1.0761,                 2.9814,                0.92122,             0.00087611,             0.00087611,             0.00087611
                     11,                 1.2383,                 1.7393,                0.96776,                  0.924,                0.43182,                0.82419,                0.59489,                 1.0374,                 2.7034,                0.90241,              0.0008787,              0.0008787,              0.0008787
                     12,                  1.251,                 1.8169,                0.98174,                      1,                0.70416,                0.98845,                0.67272,                 1.0558,                 2.3505,                0.92376,             0.00086545,             0.00086545,             0.00086545
                     13,                 1.1999,                 1.6731,                0.95258,                      1,                0.82399,                0.98807,                0.67567,                 1.0985,                 2.2003,                0.93698,               0.000812,               0.000812,               0.000812
                     14,                  1.257,                  1.649,                0.97908,                0.97714,                0.97144,                0.99411,                0.69277,                 1.0643,                 1.7495,                0.93122,               0.000812,               0.000812,               0.000812
                     15,                 1.2118,                 1.5557,                 0.9757,                0.99272,                      1,                  0.995,                0.68513,                 1.0581,                 1.5974,                0.92701,               0.000713,               0.000713,               0.000713
                     16,                 1.1802,                 1.6602,                 0.9102,                0.99637,                      1,                  0.995,                0.72746,                0.96924,                 1.4099,                0.90668,               0.000614,               0.000614,               0.000614
                     17,                 1.1952,                 1.5125,                0.95184,                0.99717,                      1,                  0.995,                0.72332,                 0.9741,                 1.2768,                0.90855,               0.000515,               0.000515,               0.000515
                     18,                 1.2026,                  1.477,                0.95548,                0.99731,                      1,                  0.995,                0.71098,                 1.0013,                 1.2248,                0.91184,               0.000416,               0.000416,               0.000416
                     19,                 1.1464,                 1.4016,                0.95115,                0.99678,                      1,                  0.995,                0.72189,                 1.0092,                 1.1601,                0.91291,               0.000317,               0.000317,               0.000317
                     20,                 1.1191,                 1.4225,                0.94782,                0.99725,                      1,                  0.995,                0.72755,                0.99662,                 1.1175,                0.91489,               0.000218,               0.000218,               0.000218
